Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2023M08,"1,192"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2023M02,"1,184"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2022M08,"1,198"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2022M02,"1,145"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2021M08,"1,182"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2021M02,"1,192"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2020M08,"1,314"
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2025M05,978
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2024M11,982
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2024M08,985
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2024M02,833
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2023M08,768
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2023M02,737
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2022M08,730
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2022M02,649
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2021M08,692
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2021M02,680
Total Nacional,07 Castilla y León,40 Segovia,Viviendas turísticas,2020M08,769
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2025M05,550
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2024M11,531
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2024M08,527
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2024M02,409
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2023M08,386
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2023M02,363
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2022M08,377
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2022M02,339
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2021M08,346
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2021M02,295
Total Nacional,07 Castilla y León,42 Soria,Viviendas turísticas,2020M08,320
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2025M05,629
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2024M11,646
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2024M08,667
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2024M02,611
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2023M08,507
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2023M02,505
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2022M08,462
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2022M02,449
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2021M08,458
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2021M02,432
Total Nacional,07 Castilla y León,47 Valladolid,Viviendas turísticas,2020M08,443
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2025M05,546
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2024M11,558
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2024M08,570
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2024M02,489
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2023M08,455
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2023M02,411
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2022M08,422
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2022M02,393
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2021M08,399
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2021M02,344
Total Nacional,07 Castilla y León,49 Zamora,Viviendas turísticas,2020M08,375
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2025M05,"1,112"
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2024M11,"1,096"
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2024M08,"1,088"
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2024M02,955
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2023M08,882
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2023M02,808
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2022M08,722
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2022M02,653
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2021M08,626
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2021M02,602
Total Nacional,08 Castilla - La Mancha,02 Albacete,Viviendas turísticas,2020M08,587
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2025M05,814
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2024M11,844
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2024M08,841
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2024M02,727
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2023M08,641
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2023M02,629
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2022M08,592
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2022M02,539
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2021M08,544
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2021M02,492
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2020M08,511
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2025M05,951
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M11,933
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M08,970
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M02,876
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2023M08,785
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2023M02,749
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2022M08,702
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2022M02,646
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2021M08,679
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2021M02,600
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2020M08,643
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2025M05,679
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M11,683
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M08,700
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M02,590
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2023M08,522
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2023M02,489
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2022M08,491
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2022M02,469
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2021M08,466
